城市,名称,上牌时间,品牌,表显里程,排量,变速箱,原价,售价,排放标准,过户次数,使用性质,产权性质,看车方式,异常点,车长/宽/高,轴距,行李箱容积,整备质量,进气形式,气缸数,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,车龄
福州,奥迪A3 2019款 Limousine 35 TFSI 进取型 国V,2019,奥迪A3,5.99,1.4,自动,21.12,13.7,国五,3,非运营使用性质,私户产权性质,到店服务看车方式,0,4457/1796/1417,2629,425,1345,涡轮增压,4缸,150,250,汽油,95号,直喷,2
福州,奥迪A3 2017款 Limousine 35 TFSI 运动型,2017,奥迪A3,9.41,1.4,自动,25.89,13.6,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4462/1796/1417,2629,425,1345,涡轮增压,4缸,150,250,汽油,95号,直喷,4
杭州,奥迪A3 2010款 Sportback 1.8T 豪华型(进口),2010,奥迪A3,13.44,1.8,自动,33.54,6.6,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4292/1765/1423,2578,370-1100,-,涡轮增压,4缸,160,250,汽油,95号,直喷,11
杭州,奥迪A3 2010款 Sportback 1.8T 豪华型(进口),2010,奥迪A3,13.44,1.8,自动,,6.6,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4292/1765/1423,2578,370-1100,-,涡轮增压,4缸,160,250,汽油,95号,直喷,11
常州,奥迪A3 2015款 Sportback 35 TFSI 百纪念智领型,2015,奥迪A3,4,1.4,自动,24.74,13.28,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4319/1785/1441,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,6
常州,奥迪A3 2015款 Sportback 35 TFSI 百纪念智领型,2015,奥迪A3,4,1.4,自动,,13.28,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4319/1785/1441,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,6
成都,奥迪A3 2018款 30周年年型 Sportback 35 TFSI 时尚型,2018,奥迪A3,8.68,1.4,自动,4.77,13.98,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4321/1785/1426,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,3
广州,奥迪A3 2014款 Sportback 40 TFSI S line 舒适型(进口),2014,奥迪A3,6.55,1.8,自动,9.53,12.78,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4324/1785/1423,2626,380-1220,1415,涡轮增压,4缸,180,250,汽油,95号,直喷,7
南京,奥迪A3 2016款 Sportback 35 TFSI 进取型,2016,奥迪A3,7.71,1.4,自动,15.62,11.2,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4319/1785/1426,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,5
武汉,奥迪A3 2020款 Sportback 35 TFSI 进取型,2020,奥迪A3,1.9,1.4,自动,54.23,14.58,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4312/1785/1426,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,1
长沙,奥迪A3 2019款 Sportback 35 TFSI 进取型 国V,2019,奥迪A3,3.07,1.4,自动,30.28,13.88,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4312/1785/1426,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,2
成都,奥迪A3 2018款 30周年年型 Sportback 35 TFSI 时尚型,2018,奥迪A3,8.68,1.4,自动,23.21,13.98,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4321/1785/1426,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,3
南京,奥迪A3 2016款 Sportback 35 TFSI 进取型,2016,奥迪A3,7.71,1.4,自动,20.07,11.2,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4319/1785/1426,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,5
广州,奥迪A3 2014款 Sportback 40 TFSI S line 舒适型(进口),2014,奥迪A3,6.55,1.8,自动,29.29,12.78,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4324/1785/1423,2626,380-1220,1415,涡轮增压,4缸,180,250,汽油,95号,直喷,7
长沙,奥迪A3 2019款 Sportback 35 TFSI 进取型 国V,2019,奥迪A3,3.07,1.4,自动,20.47,13.88,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4312/1785/1426,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,2
武汉,奥迪A3 2020款 Sportback 35 TFSI 进取型,2020,奥迪A3,1.9,1.4,自动,20.54,14.58,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4312/1785/1426,2629,380-1220,1340,涡轮增压,4缸,150,250,汽油,95号,直喷,1
长春,奥迪A4 2013款 40 TFSI allroad quattro 舒适型(进口),2013,奥迪A4,6.9,2,自动,53.17,15.98,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4721/1841/1495,2805,490-1430,1770,涡轮增压,4缸,211,350,汽油,95号,直喷,8
长春,奥迪A4 2013款 40 TFSI allroad quattro 舒适型(进口),2013,奥迪A4,6.9,2,自动,,15.98,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4721/1841/1495,2805,490-1430,1770,涡轮增压,4缸,211,350,汽油,95号,直喷,8
广州,奥迪A4L 2011款 2.0 TFSI 标准型,2011,奥迪A4L,13.54,2,自动,,9,国四,2,非运营使用性质,公户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
广州,奥迪A4L 2011款 2.0 TFSI 标准型,2011,奥迪A4L,13.54,2,自动,33.63,9,国四,2,非运营使用性质,公户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
广州,奥迪A4L 2012款 2.0 TFSI 自动标准型,2012,奥迪A4L,14.62,2,自动,13,9.6,国四,2,非运营使用性质,公户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,9
广州,奥迪A4L 2012款 2.0 TFSI 自动标准型,2012,奥迪A4L,14.62,2,自动,33.63,9.6,国四,2,非运营使用性质,公户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,9
苏州,奥迪A4L 2011款 2.0 TFSI 技术型,2011,奥迪A4L,17.8,2,自动,24.95,8.98,国四,5,非运营使用性质,公转私产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
潍坊,奥迪A4L 2011款 2.0 TFSI 标准型,2011,奥迪A4L,10.01,2,自动,72.51,10.4,国四,3,非运营使用性质,公转私产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
潍坊,奥迪A4L 2011款 2.0 TFSI 标准型,2011,奥迪A4L,10.01,2,自动,33.63,10.4,国四,3,非运营使用性质,公转私产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
苏州,奥迪A4L 2011款 2.0 TFSI 技术型,2011,奥迪A4L,17.8,2,自动,40.14,8.98,国四,5,非运营使用性质,公转私产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
广州,奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,2018,奥迪A4L,4.69,2,自动,37.22,23.6,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4818/1843/1432,2908,424,1565,涡轮增压,4缸,190,320,汽油,95号,混合喷射,3
广州,奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,2018,奥迪A4L,4.69,2,自动,,23.6,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4818/1843/1432,2908,424,1565,涡轮增压,4缸,190,320,汽油,95号,混合喷射,3
广州,奥迪A4L 2018款 30周年年型 40 TFSI 进取型,2018,奥迪A4L,6.4,2,自动,29.18,21.68,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4818/1843/1432,2908,424,1565,涡轮增压,4缸,190,320,汽油,95号,混合喷射,3
济南,奥迪A4L 2018款 30周年年型 40 TFSI 进取型,2018,奥迪A4L,4.79,2,自动,9.75,21.5,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4818/1843/1432,2908,424,1565,涡轮增压,4缸,190,320,汽油,95号,混合喷射,3
廊坊,奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,2018,奥迪A4L,9.85,2,自动,37.22,22,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4818/1843/1432,2908,424,1565,涡轮增压,4缸,190,320,汽油,95号,混合喷射,3
廊坊,奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,2018,奥迪A4L,9.85,2,自动,,22,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4818/1843/1432,2908,424,1565,涡轮增压,4缸,190,320,汽油,95号,混合喷射,3
长沙,奥迪A4L 2019款 40 TFSI 进取型 国V,2019,奥迪A4L,2.6,2,自动,,24.58,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4837/1843/1432,2908,424,1565,涡轮增压,4缸,190,320,汽油,95号,混合喷射,2
长沙,奥迪A4L 2019款 40 TFSI 进取型 国V,2019,奥迪A4L,2.6,2,自动,32.65,24.58,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4837/1843/1432,2908,424,1565,涡轮增压,4缸,190,320,汽油,95号,混合喷射,2
广州,奥迪A4L 2018款 30周年年型 40 TFSI 进取型,2018,奥迪A4L,6.4,2,自动,33.32,21.68,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4818/1843/1432,2908,424,1565,涡轮增压,4缸,190,320,汽油,95号,混合喷射,3
济南,奥迪A4L 2018款 30周年年型 40 TFSI 进取型,2018,奥迪A4L,4.79,2,自动,33.32,21.5,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4818/1843/1432,2908,424,1565,涡轮增压,4缸,190,320,汽油,95号,混合喷射,3
广州,奥迪A4L 2019款 40 TFSI 时尚型 国VI,2019,奥迪A4L,2.7,2,自动,36.45,25.2,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4837/1843/1432,2908,424,1585,涡轮增压,4缸,190,320,汽油,95号,混合喷射,2
广州,奥迪A4L 2019款 40 TFSI 时尚型 国VI,2019,奥迪A4L,2.7,2,自动,36.45,25.2,国六,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4837/1843/1432,2908,424,1585,涡轮增压,4缸,190,320,汽油,95号,混合喷射,2
常州,奥迪A4L 2010款 2.0 TFSI 标准型,2010,奥迪A4L,10,2,自动,33.63,9.88,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,11
常州,奥迪A4L 2010款 2.0 TFSI 标准型,2010,奥迪A4L,10,2,自动,,9.88,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,11
成都,奥迪A4L 2011款 2.0 TFSI 技术型,2011,奥迪A4L,16.3,2,自动,40.14,9.46,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
成都,奥迪A4L 2011款 2.0 TFSI 技术型,2011,奥迪A4L,16.3,2,自动,,9.46,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
德州,奥迪A4L 2015款 35 TFSI 自动舒适型,2015,奥迪A4L,7.57,2,自动,13.55,15.9,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4761/1826/1439,2869,480,1600,涡轮增压,4缸,180,320,汽油,95号,混合喷射,6
福州,奥迪A4L 2013款 35 TFSI 自动舒适型,2013,奥迪A4L,10.55,2,自动,,12.99,国五,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4761/1826/1439,2869,480,1600,涡轮增压,4缸,180,320,汽油,95号,直喷,8
福州,奥迪A4L 2013款 35 TFSI 自动舒适型,2013,奥迪A4L,8.7,2,自动,,12.8,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4761/1826/1439,2869,480,1600,涡轮增压,4缸,180,320,汽油,95号,直喷,8
杭州,奥迪A4L 2010款 2.0 TFSI 标准型,2010,奥迪A4L,5.3,2,自动,33.63,8.78,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,11
杭州,奥迪A4L 2010款 2.0 TFSI 标准型,2010,奥迪A4L,5.3,2,自动,,8.78,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,11
杭州,奥迪A4L 2011款 2.0 TFSI 舒适型,2011,奥迪A4L,12.09,2,自动,35.81,8.8,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
杭州,奥迪A4L 2011款 2.0 TFSI 舒适型,2011,奥迪A4L,12.09,2,自动,,8.8,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
呼和,奥迪A4L 2012款 2.0 TFSI 自动标准型,2012,奥迪A4L,9.11,2,自动,,9.9,国四,2,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,9
济南,奥迪A4L 2015款 45 TFSI quattro个性运动型,2015,奥迪A4L,6.8,2,自动,,16.8,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4761/1826/1439,2869,480,1710,涡轮增压,4缸,224,350,汽油,95号,混合喷射,6
济南,奥迪A4L 2015款 45 TFSI quattro个性运动型,2015,奥迪A4L,6.8,2,自动,38.32,16.8,国五,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4761/1826/1439,2869,480,1710,涡轮增压,4缸,224,350,汽油,95号,混合喷射,6
南昌,奥迪A4L 2013款 30 TFSI 自动舒适型,2013,奥迪A4L,11.2,1.8,自动,31.59,13.9,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4761/1826/1439,2869,480,1590,涡轮增压,4缸,160,250,汽油,95号,直喷,8
南昌,奥迪A4L 2013款 30 TFSI 自动舒适型,2013,奥迪A4L,11.2,1.8,自动,,13.9,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4761/1826/1439,2869,480,1590,涡轮增压,4缸,160,250,汽油,95号,直喷,8
南京,奥迪A4L 2011款 2.0 TFSI 舒适型,2011,奥迪A4L,13.6,2,自动,35.81,9.98,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
南京,奥迪A4L 2011款 2.0 TFSI 舒适型,2011,奥迪A4L,13.6,2,自动,,9.98,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
南京,奥迪A4L 2011款 2.0 TFSI 标准型,2011,奥迪A4L,12.79,2,自动,13,9.58,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
宁波,奥迪A4L 2013款 35 TFSI 自动标准型,2013,奥迪A4L,15.63,2,自动,33.63,12.38,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4761/1826/1439,2869,480,1600,涡轮增压,4缸,180,320,汽油,95号,直喷,8
宁波,奥迪A4L 2013款 35 TFSI 自动标准型,2013,奥迪A4L,15.63,2,自动,,12.38,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4761/1826/1439,2869,480,1600,涡轮增压,4缸,180,320,汽油,95号,直喷,8
宁波,奥迪A4L 2011款 2.0 TFSI 标准型,2011,奥迪A4L,17,2,自动,33.63,8.6,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
宁波,奥迪A4L 2013款 35 TFSI 自动标准型,2013,奥迪A4L,15.63,2,自动,6.94,12,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4761/1826/1439,2869,480,1600,涡轮增压,4缸,180,320,汽油,95号,直喷,8
齐齐,奥迪A4L 2011款 2.0 TFSI 标准型,2011,奥迪A4L,7.77,2,自动,,10,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
齐齐,奥迪A4L 2011款 2.0 TFSI 标准型,2011,奥迪A4L,7.77,2,自动,33.63,10,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
齐齐,奥迪A4L 2011款 2.0 TFSI 标准型,2011,奥迪A4L,7.77,2,自动,26.92,9.7,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
青岛,奥迪A4L 2012款 2.0 TFSI 自动运动型,2012,奥迪A4L,9.9,2,自动,46,12.6,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1630,涡轮增压,4缸,211,350,汽油,95号,直喷,9
青岛,奥迪A4L 2012款 2.0 TFSI 自动运动型,2012,奥迪A4L,9.9,2,自动,,12.6,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1630,涡轮增压,4缸,211,350,汽油,95号,直喷,9
厦门,奥迪A4L 2013款 35 TFSI 自动舒适型,2013,奥迪A4L,11.35,2,自动,,13.98,国四,4,非运营使用性质,私户产权性质,到店服务看车方式,0,4761/1826/1439,2869,480,1600,涡轮增压,4缸,180,320,汽油,95号,直喷,8
深圳,奥迪A4L 2010款 2.0 TFSI 豪华型,2010,奥迪A4L,10,2,自动,,9.8,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,11
深圳,奥迪A4L 2010款 2.0 TFSI 豪华型,2010,奥迪A4L,10,2,自动,43.31,9.8,国四,1,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,11
深圳,奥迪A4L 2011款 2.0 TFSI 标准型,2011,奥迪A4L,11,2,自动,,10.28,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
深圳,奥迪A4L 2011款 2.0 TFSI 标准型,2011,奥迪A4L,11,2,自动,33.63,10.28,国四,0,非运营使用性质,私户产权性质,到店服务看车方式,0,4763/1826/1426,2869,480,1615,涡轮增压,4缸,180,320,汽油,95号,直喷,10
